lnN,P_same,delta1,abs_rho1,n,delta1_times_lnN,ratio_d1_over_rho1
13.5277,0.42610,0.073896,0.043558,32255,0.9996,1.696
14.1033,0.42529,0.074711,0.045561,55052,1.0537,1.640
14.6790,0.43161,0.068388,0.045349,94096,1.0039,1.508
15.2546,0.43144,0.068559,0.040049,161037,1.0458,1.712
15.8303,0.43380,0.066199,0.040623,275896,1.0479,1.630
16.4059,0.43594,0.064057,0.038660,473709,1.0509,1.657
16.9816,0.43849,0.061507,0.037540,813669,1.0445,1.638
17.5572,0.44026,0.059736,0.035035,1399593,1.0488,1.705
18.1329,0.44110,0.058898,0.034545,2409905,1.0680,1.705
18.7085,0.44330,0.056701,0.032375,4154437,1.0608,1.751
19.2842,0.44428,0.055724,0.032560,7166774,1.0746,1.711
19.8598,0.44581,0.054185,0.030992,12375776,1.0761,1.748
20.4354,0.44703,0.052972,0.029507,21389091,1.0825,1.795
